Segment,Brand,PriceSegment,GlobalPriceSegment
Puree,Abibok,PREMIUM,SUPER PREMIUM
Puree,Agusha,MAINSTREAM,MAINSTREAM
Puree,Alyonka Lubit,ECONOMY,ECONOMY
Puree,Andy,MAINSTREAM,MAINSTREAM
Puree,Auchan,MAINSTREAM,MAINSTREAM
Puree,Babushkino Lukoshko,MAINSTREAM,MAINSTREAM
Puree,Bambolina,MAINSTREAM,MAINSTREAM
Puree,Bebi,PREMIUM,PREMIUM
Puree,Babybio,PREMIUM,SUPER PREMIUM
Puree,Baby Hit,ECONOMY,ECONOMY
Puree,Bebivita,MAINSTREAM,MAINSTREAM
Puree,Bobovita,MAINSTREAM,MAINSTREAM
Puree,Bellakt,MAINSTREAM,MAINSTREAM
Puree,Bob Snail,MAINSTREAM,MAINSTREAM
Puree,Chudo-Chado,ECONOMY,ECONOMY
Puree,Chudo-chado,ECONOMY,ECONOMY
Puree,Dettka,ECONOMY,ECONOMY
Puree,Fleur Alpine,PREMIUM,SUPER PREMIUM
Puree,Fruta Pyureshka,PREMIUM,PREMIUM
Puree,Frutek,MAINSTREAM,MAINSTREAM
Puree,Fruto Nyanya,ECONOMY,ECONOMY
Puree,Gerber,PREMIUM,PREMIUM
Puree,Good Gout,PREMIUM,SUPER PREMIUM
Puree,Hamanek,MAINSTREAM,MAINSTREAM
Puree,Hame,PREMIUM,PREMIUM
Puree,Heinz,PREMIUM,SUPER PREMIUM
Puree,Hipp,PREMIUM,SUPER PREMIUM
Puree,Holle,PREMIUM,SUPER PREMIUM
Puree,Humana,PREMIUM,SUPER PREMIUM
Puree,Kabrita,PREMIUM,SUPER PREMIUM
Puree,Karapuz,ECONOMY,ECONOMY
Puree,Krokha,PREMIUM,PREMIUM
Puree,Krokha Ors,MAINSTREAM,MAINSTREAM
Puree,Landi,MAINSTREAM,MAINSTREAM
Puree,Lozhka V Ladochke,MAINSTREAM,MAINSTREAM
Puree,Lozhka V Ladoshke,MAINSTREAM,MAINSTREAM
Puree,Malen'koe Schast'e,MAINSTREAM,MAINSTREAM
Puree,Malenkoe Schaste,MAINSTREAM,MAINSTREAM
Puree,Malyatko,MAINSTREAM,MAINSTREAM
Puree,Mamako,PREMIUM,SUPER PREMIUM
Puree,Marmaluzi,MAINSTREAM,MAINSTREAM
Puree,Milupa,PREMIUM,PREMIUM
Puree,Nestle,PREMIUM,SUPER PREMIUM
Puree,Nutrino,MAINSTREAM,MAINSTREAM
Puree,Omkk,PREMIUM,SUPER PREMIUM
Puree,Only Organic,ECONOMY,ECONOMY
Puree,Organic Star,PREMIUM,PREMIUM
Puree,Ovko,PREMIUM,PREMIUM
Puree,Pipa,MAINSTREAM,MAINSTREAM
Puree,Ponn,PREMIUM,PREMIUM
Puree,Private label,ECONOMY,ECONOMY
Puree,Private Label,ECONOMY,ECONOMY
Puree,Remedia,PREMIUM,PREMIUM
Puree,Rudolfs,PREMIUM,PREMIUM
Puree,Rum'yani Shchichky,ECONOMY,ECONOMY
Puree,Rumyani Shchichky,ECONOMY,ECONOMY
Puree,Rumyani Shchichki,ECONOMY,ECONOMY
Puree,Sady Pridon'ya,ECONOMY,ECONOMY
Puree,Sady Pridonya,ECONOMY,ECONOMY
Puree,Salvest,MAINSTREAM,MAINSTREAM
Puree,Sami S Usami,ECONOMY,ECONOMY
Puree,Semper,PREMIUM,SUPER PREMIUM
Puree,Spelenok,ECONOMY,ECONOMY
Puree,Sochnyi Perekus,MAINSTREAM,MAINSTREAM
Puree,Tema,MAINSTREAM,MAINSTREAM
Puree,Tip-Top,ECONOMY,ECONOMY
Puree,Toptyshka,ECONOMY,ECONOMY
Puree,Umnitsa,MAINSTREAM,MAINSTREAM
Puree,Vinni,ECONOMY,ECONOMY
Puree,Vita,ECONOMY,ECONOMY
IMF,Agusha,MAINSTREAM,MAINSTREAM
IMF,Alfare,PREMIUM,SUPER PREMIUM
IMF,Babybio,PREMIUM,SUPER PREMIUM
